Órgão;Número do Processo;Modalidade;Objeto;Valor Total/Global;Local de Execução/Entrega;Data Diário Oficial;Protocolo;Início da vigência do contrato;Fim da Vigência do Contrato;Situação
SME       ;DT 56/2020;Dispensa de Licitação - TCE;AQUISIÇÃO DE KITS DE GÊNEROS ALIMENTÍCIOS PARA A SECRETARIA MUNICIPAL DA EDUCAÇÃO;R$ 191.850,00;Conforme processo original nº 01-086960/2020;01/09/2020;01-086960/2020;01/09/2020;18/09/2020;Empenhado
FMAS      ;FN 34/2020;Financeiro;Tem por objetivo formalizar parceria entre as partes a fim de destinar recursos financeiros do Fundo Municipal de Assistência Social, por dispensa de chamamento público, conforme Resolução nº 133/2020 - CMAS, para desenvolver o plano de trabalho ESPERANDO UM NOVO AMANHECER, que tem por objetivo geral ser o garantidor da proteção integral da criança acolhida no Lar Antonia.;R$ 72.000,00;FAS;03/09/2020;35-000582/2020;03/09/2020;01/03/2021;Confirmado Vencedor
FMAS      ;FN 34/2020;Financeiro;Tem por objetivo formalizar parceria entre as partes a fim de destinar recursos financeiros do Fundo Municipal de Assistência Social, por dispensa de chamamento público, conforme Resolução nº 133/2020 - CMAS, para desenvolver o plano de trabalho ESPERANDO UM NOVO AMANHECER, que tem por objetivo geral ser o garantidor da proteção integral da criança acolhida no Lar Antonia.;R$ 72.000,00;FAS;03/09/2020;35-000582/2020;03/09/2020;01/03/2021;Confirmado Vencedor
FMAS      ;FN 35/2020;Financeiro;Tem por objetivo formalizar parceria entre as partes a fim de destinar recursos financeiros do Fundo Municipal de Assistência Social, por dispensa de chamamento público, conforme Resolução nº 133/2020 - CMAS, para desenvolver o plano de trabalho ASILO SÃO VICENTE DE PAULO: PROTEÇÃO INTEGRAL EM TEMPOS DE PANDEMIA, que tem por objetivo geral garantir proteção social integral as 150 pessoas idosas, do sexo feminino, em situação de risco e vulnerabilidade social, com vínculos familiares fragilizados ou rompidos, com grau de dependência I, II e III no Serviço de Acolhimento Institucional, realizando as ações necessárias para a prevenção de COVID-19.;R$ 450.000,00;FAS;03/09/2020;35-000525/2020;03/09/2020;01/03/2021;Confirmado Vencedor
FMAS      ;FN 35/2020;Financeiro;Tem por objetivo formalizar parceria entre as partes a fim de destinar recursos financeiros do Fundo Municipal de Assistência Social, por dispensa de chamamento público, conforme Resolução nº 133/2020 - CMAS, para desenvolver o plano de trabalho ASILO SÃO VICENTE DE PAULO: PROTEÇÃO INTEGRAL EM TEMPOS DE PANDEMIA, que tem por objetivo geral garantir proteção social integral as 150 pessoas idosas, do sexo feminino, em situação de risco e vulnerabilidade social, com vínculos familiares fragilizados ou rompidos, com grau de dependência I, II e III no Serviço de Acolhimento Institucional, realizando as ações necessárias para a prevenção de COVID-19.;R$ 450.000,00;FAS;03/09/2020;35-000525/2020;03/09/2020;01/03/2021;Confirmado Vencedor
FMAS      ;FN 36/2020;Financeiro;Tem por objetivo formalizar parceria entre as partes a fim de destinar recursos financeiros do Fundo Municipal de Assistência Social, por dispensa de chamamento público, conforme Resolução nº 133/2020 - CMAS, para desenvolver o plano de trabalho Casas Lares em Situação de Emergência, que tem por objetivo geral realizar ações voltadas à proteção social, orientação e informação das crianças e adolescentes em situação de vulnerabilidade e risco social, com vistas à prevenção do Covid-19 e disseminação do vírus.;R$ 72.000,00;FAS;03/09/2020;35-000499/2020;03/09/2020;01/03/2021;Confirmado Vencedor
FMAS      ;FN 36/2020;Financeiro;Tem por objetivo formalizar parceria entre as partes a fim de destinar recursos financeiros do Fundo Municipal de Assistência Social, por dispensa de chamamento público, conforme Resolução nº 133/2020 - CMAS, para desenvolver o plano de trabalho Casas Lares em Situação de Emergência, que tem por objetivo geral realizar ações voltadas à proteção social, orientação e informação das crianças e adolescentes em situação de vulnerabilidade e risco social, com vistas à prevenção do Covid-19 e disseminação do vírus.;R$ 72.000,00;FAS;03/09/2020;35-000499/2020;03/09/2020;01/03/2021;Confirmado Vencedor
SME       ;PE 168/2020;PREGÃO ELETRÔNICO;CONTRATAÇÃO DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE IMPLANTAÇÃO, MONITORAMENTO E IMPLEMENTAÇÃO DE CONTROLE INTEGRADO DE PRAGAS URBANAS E VETORES PARA A SECRETARIA MUNICIPAL DA EDUCAÇÃO;R$ 21.500,00;Comforme  Edital.;03/09/2020;01-067049/2020;21/12/2020;20/12/2022;Confirmado Vencedor
FMAS      ;FN 37/2020;Financeiro;Tem por objetivo formalizar parceria entre as partes a fim de destinar recursos financeiros do Fundo Municipal de Assistência Social, por dispensa de chamamento público, conforme Resolução nº 133/2020 - CMAS, para desenvolver o plano de trabalho SAÚDE E BEM ESTAR AOS ASSISTIDOS COM MÚLTIPLAS DEFICIÊNCIAS EM TEMPOS DE COVID-19, que tem por objetivo geral promover a saúde e fortalecimento do sistema imunológico dos assistidos com múltiplas deficiências, por meio de alimentos ricos em nutrientes produzidos nas atividades de panificação.;R$ 120.000,00;fas;09/09/2020;01-082062/2020;09/09/2020;07/03/2021;Confirmado Vencedor
FMAS      ;FN 37/2020;Financeiro;Tem por objetivo formalizar parceria entre as partes a fim de destinar recursos financeiros do Fundo Municipal de Assistência Social, por dispensa de chamamento público, conforme Resolução nº 133/2020 - CMAS, para desenvolver o plano de trabalho SAÚDE E BEM ESTAR AOS ASSISTIDOS COM MÚLTIPLAS DEFICIÊNCIAS EM TEMPOS DE COVID-19, que tem por objetivo geral promover a saúde e fortalecimento do sistema imunológico dos assistidos com múltiplas deficiências, por meio de alimentos ricos em nutrientes produzidos nas atividades de panificação.;R$ 120.000,00;fas;09/09/2020;01-082062/2020;09/09/2020;07/03/2021;Confirmado Vencedor
FMAS      ;FN 38/2020;Financeiro;Tem por objetivo formalizar parceria entre as partes a fim de destinar recursos financeiros do Fundo Municipal de Assistência Social, por dispensa de chamamento público, conforme Resolução nº 133/2020 - CMAS, para desenvolver o plano de trabalho COVID 19: ATENÇÃO AS DEMANDAS EMERGENCIAIS, que tem por objetivo geral amparar situações de emergência decorrentes do coronavírus - Covid 19.;R$ 36.000,00;FAS;09/09/2020;35-000586/2020;09/09/2020;07/03/2021;Confirmado Vencedor
FMAS      ;FN 38/2020;Financeiro;Tem por objetivo formalizar parceria entre as partes a fim de destinar recursos financeiros do Fundo Municipal de Assistência Social, por dispensa de chamamento público, conforme Resolução nº 133/2020 - CMAS, para desenvolver o plano de trabalho COVID 19: ATENÇÃO AS DEMANDAS EMERGENCIAIS, que tem por objetivo geral amparar situações de emergência decorrentes do coronavírus - Covid 19.;R$ 36.000,00;FAS;09/09/2020;35-000586/2020;09/09/2020;07/03/2021;Confirmado Vencedor
FMAS      ;FN 39/2020;Financeiro;Tem por objetivo formalizar parceria entre as partes a fim de destinar recursos financeiros do Fundo Municipal de Assistência Social, por dispensa de chamamento público, conforme Resolução nº 133/2020 - CMAS, para desenvolver o plano de trabalho COVID 19: GARANTIR ATENDIMENTO ESSENCIAL, que tem por objetivo geral atender situações emergenciais decorrente do Coronavirus - COVID 19 que atingem a prestação do serviço aos bebês institucionalizados.;R$ 27.000,00;FAS;09/09/2020;35-000538/2020;09/09/2020;07/03/2021;Confirmado Vencedor
FMAS      ;FN 39/2020;Financeiro;Tem por objetivo formalizar parceria entre as partes a fim de destinar recursos financeiros do Fundo Municipal de Assistência Social, por dispensa de chamamento público, conforme Resolução nº 133/2020 - CMAS, para desenvolver o plano de trabalho COVID 19: GARANTIR ATENDIMENTO ESSENCIAL, que tem por objetivo geral atender situações emergenciais decorrente do Coronavirus - COVID 19 que atingem a prestação do serviço aos bebês institucionalizados.;R$ 27.000,00;FAS;09/09/2020;35-000538/2020;09/09/2020;07/03/2021;Confirmado Vencedor
FMAS      ;PE 17/2020;PREGÃO ELETRÔNICO;AQUISIÇÃO DE TERMÔMETROS DIGITAIS INFRAVERMELHOS E TAPETES SANITIZANTES PARA ATENDIMENTO DAS AÇÕES DE COMBATE AO CORONA VÍRUS - COVID19, NAS UNIDADES DA FUNDAÇÃO DE AÇÃO SOCIAL, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS. ;R$ 49.704,00;conforme empenho;09/09/2020;01-081013/2020;09/09/2020;28/03/2021;Parcialmente Empenhado
FMAS      ;FN 40/2020;Financeiro;Tem por objetivo formalizar parceria entre as partes a fim de destinar recursos financeiros do Fundo Municipal de Assistência Social, por dispensa de chamamento público, conforme Resolução nº 133/2020 - CMAS, para desenvolver o plano de trabalho Atendimento emergencial aos idosos institucionalizados (pandemia do novo coronavírus), que tem por objetivo proporcionar atendimento emergencial, bem estar e melhoria da qualidade de vida dos idosos acolhidos pela instituição.;R$ 255.000,00;FAS;09/09/2020;35-000575/2020;09/09/2020;07/03/2021;Confirmado Vencedor
FMAS      ;FN 40/2020;Financeiro;Tem por objetivo formalizar parceria entre as partes a fim de destinar recursos financeiros do Fundo Municipal de Assistência Social, por dispensa de chamamento público, conforme Resolução nº 133/2020 - CMAS, para desenvolver o plano de trabalho Atendimento emergencial aos idosos institucionalizados (pandemia do novo coronavírus), que tem por objetivo proporcionar atendimento emergencial, bem estar e melhoria da qualidade de vida dos idosos acolhidos pela instituição.;R$ 255.000,00;FAS;09/09/2020;35-000575/2020;09/09/2020;07/03/2021;Confirmado Vencedor
FMS       ;DT 218/2020;Dispensa de Licitação - TCE;AQUISIÇÃO DE LUVA DE PROCEDIMENTO.;R$ 516.000,00;RUA JOÃO BETTEGA, 3350 - CIC.;14/09/2020;01-092406/2020;15/09/2020;18/09/2020;Empenhado
FMS       ;DT 219/2020;Dispensa de Licitação - TCE;AQUISIÇÃO DE GORRO DESCATRÁVEL.;R$ 17.000,00;RUA  JOÃO BETTEGA,3350 - CIC.;14/09/2020;01-092551/2020;15/09/2020;18/09/2020;Empenhado
FMS       ;PE 101/2020;PREGÃO ELETRÔNICO;AQUISIÇÃO DE UNIFORMES PARA PROFISSIONAIS DO SAMU DA SECRETARIA MUNICIPAL DA SAÚDE;R$ 32.895,00;Rua Atilio Bório, n º 668/680 - Alto da XV - DUE/SMS;16/09/2020;01-089406/2020;23/11/2020;23/12/2020;Empenhado
FMS       ;DT 221/2020;Dispensa de Licitação - TCE;AQUISIÇÃO DE EQUIPAMENTO PARA VIDEOCONFERÊNCIA. ;R$ 16.877,52;RUA FRANCISCO TORRES, 830 - 7º ANDAR, NIT;18/09/2020;01-089763/2020;21/09/2020;24/09/2020;Empenhado
FMAS      ;FN 41/2020;Financeiro;Tem por objetivo formalizar parceria entre as partes a fim de destinar recursos financeiros do Fundo Municipal de Assistência Social, por dispensa de chamamento público, conforme Resolução nº 133/2020 - CMAS, para desenvolver o plano de trabalho Acolher é Cuidar FFB no enfrentamento a Pandemia, que tem por objetivo geral garantir a medida de proteção integral no sistema de abrigo institucional para crianças e adolescentes em situação de risco pessoal e social da cidade de Curitiba para que sejam provisionadas novas demandas emergenciais com a celeridade necessária num ambiente seguro e acolhedor no período da Pandemia do COVID-19.;R$ 34.200,00;FAS;17/09/2020;35-000539/2020;17/09/2020;15/03/2021;Confirmado Vencedor
FMAS      ;FN 41/2020;Financeiro;Tem por objetivo formalizar parceria entre as partes a fim de destinar recursos financeiros do Fundo Municipal de Assistência Social, por dispensa de chamamento público, conforme Resolução nº 133/2020 - CMAS, para desenvolver o plano de trabalho Acolher é Cuidar FFB no enfrentamento a Pandemia, que tem por objetivo geral garantir a medida de proteção integral no sistema de abrigo institucional para crianças e adolescentes em situação de risco pessoal e social da cidade de Curitiba para que sejam provisionadas novas demandas emergenciais com a celeridade necessária num ambiente seguro e acolhedor no período da Pandemia do COVID-19.;R$ 34.200,00;FAS;17/09/2020;35-000539/2020;17/09/2020;15/03/2021;Confirmado Vencedor
FMAS      ;FN 42/2020;Financeiro;Tem por objetivo formalizar parceria entre as partes a fim de destinar recursos financeiros do Fundo Municipal de Assistência Social, por dispensa de chamamento público, conforme Resolução nº 133/2020 - CMAS, para desenvolver o plano de trabalho Covid-19: PROTEÇÃO INTEGRAL DAS CRIANÇAS ACOLHIDAS EM ÉPOCA DE PANDEMIA, que tem por objetivo geral assegurar o atendimento integral e de qualidade às demandas e necessidades das crianças no acolhimento no período de isolamento social ocasionado pela Pandemia COVID-19.;R$ 90.000,00;FAS;17/09/2020;01-082977/2020;17/09/2020;15/03/2021;Confirmado Vencedor
FMAS      ;FN 42/2020;Financeiro;Tem por objetivo formalizar parceria entre as partes a fim de destinar recursos financeiros do Fundo Municipal de Assistência Social, por dispensa de chamamento público, conforme Resolução nº 133/2020 - CMAS, para desenvolver o plano de trabalho Covid-19: PROTEÇÃO INTEGRAL DAS CRIANÇAS ACOLHIDAS EM ÉPOCA DE PANDEMIA, que tem por objetivo geral assegurar o atendimento integral e de qualidade às demandas e necessidades das crianças no acolhimento no período de isolamento social ocasionado pela Pandemia COVID-19.;R$ 90.000,00;FAS;17/09/2020;01-082977/2020;17/09/2020;15/03/2021;Confirmado Vencedor
FMAS      ;FN 43/2020;Financeiro;Tem por objetivo formalizar parceria entre as partes a fim de destinar recursos financeiros do Fundo Municipal de Assistência Social, por dispensa de chamamento público, conforme Resolução nº 133/2020 - CMAS, para desenvolver o plano de trabalho LAR ESPERANÇA 2 CONTRA COVID-19, que tem por objetivo geral executar e qualificar o Serviço de Acolhimento Institucional para o enfrentamento ao COVID-19;R$ 63.000,00;FAS;17/09/2020;35-000554/2020;17/09/2020;15/03/2021;Confirmado Vencedor
FMAS      ;FN 43/2020;Financeiro;Tem por objetivo formalizar parceria entre as partes a fim de destinar recursos financeiros do Fundo Municipal de Assistência Social, por dispensa de chamamento público, conforme Resolução nº 133/2020 - CMAS, para desenvolver o plano de trabalho LAR ESPERANÇA 2 CONTRA COVID-19, que tem por objetivo geral executar e qualificar o Serviço de Acolhimento Institucional para o enfrentamento ao COVID-19;R$ 63.000,00;FAS;17/09/2020;35-000554/2020;17/09/2020;15/03/2021;Confirmado Vencedor
FMAS      ;FN 44/2020;Financeiro;Tem por objetivo formalizar parceria entre as partes a fim de destinar recursos financeiros do Fundo Municipal de Assistência Social, por dispensa de chamamento público, conforme Resolução nº 133/2020 - CMAS, para desenvolver o plano de trabalho CASA DO VOVÔ CONTRA COVID-19, que tem por objetivo geral atender as orientações e normas sanitárias e de isolamento para o enfrentamento a pandemia, evitando o contágio e a disseminação do COVID-19 entre os moradores e colaboradores.;R$ 60.000,00;FAS;17/09/2020;35-000555/2020;17/09/2020;15/03/2021;Confirmado Vencedor
FMAS      ;FN 44/2020;Financeiro;Tem por objetivo formalizar parceria entre as partes a fim de destinar recursos financeiros do Fundo Municipal de Assistência Social, por dispensa de chamamento público, conforme Resolução nº 133/2020 - CMAS, para desenvolver o plano de trabalho CASA DO VOVÔ CONTRA COVID-19, que tem por objetivo geral atender as orientações e normas sanitárias e de isolamento para o enfrentamento a pandemia, evitando o contágio e a disseminação do COVID-19 entre os moradores e colaboradores.;R$ 60.000,00;FAS;17/09/2020;35-000555/2020;17/09/2020;15/03/2021;Confirmado Vencedor
FMS       ;DT 222/2020;Dispensa de Licitação - TCE;CONTRATAÇÃO EMERGENCIAL DE EMPRESA PARA PRESTAÇÃO DE SERVIÇO DE ATENDIMENTO PRÉ-HOSPITALAR MÓVEL - APH EXCLUSIVO PARA O TRANSPORTE DE PACIENTES SUSPEITOS OU CONFIRMADOS DE COVID-19. ;R$ 1.752.000,00;RUA FGRANCISCO TORRES, 830 - SMS;18/09/2020;01-087112/2020;21/09/2020;19/03/2021;Confirmado Vencedor
FMS       ;PE 108/2020;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE MATERIAL DE CONSUMO MÉDICO-HOSPITALAR, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES - COM ITENS EXCLUSIVOS E COTAS RESERVADAS PARA MICROEMPRESAS, EMPRESAS DE PEQUENO PORTE E MICROEMPREENDEDORES INDIVIDUAIS - ME/EPP/MEI.;R$ 4.300.152,60;RUA JOÃO BETTEGA, 3350 CIDADE INDUSTRIAL CURITIBA - PR;23/09/2020;01-084874/2020;22/09/2020;25/11/2021;Parcialmente Empenhado
FMS       ;DT 224/2020;Dispensa de Licitação - TCE;CONTRATAÇÃO EMERGENCIAL DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS COM FORNECIMENTO DE ATÉ 25 VENTILADORES PULMONAR MECÂNICO PARA USO DOMICILIAR, PEDIÁTRICO OU ADULTO, COM ASSISTÊNCIA DE FISIOTERAPEUTA, PLANTÃO PARA ATENDIMENTO E MANUTENÇÃO 24 HORAS, INCLUINDO TODOS OS ACESSÓRIOS NECESSÁRIOS AO FUNCIONAMENTO, PARA ATENDIMENTO AO DEPARTAMENTO DE ATENÇÃO À SAÚDE DA SMS.;R$ 150.000,00;RUA FRANCISCO TORRES, 830 - SMS;24/09/2020;01-096037/2020;25/09/2020;23/03/2021;Confirmado Vencedor
FMAS      ;DT 19/2020;Dispensa de Licitação - TCE;O presente Termo de Referência visa à formalização de Contrato de prestação de serviços para a execução do Serviço de Acolhimento Institucional, de até 20 (vinte) vagas para o atendimento de pessoas adultas, com idade de 18 (dezoito) a 59 (cinquenta e nove) anos, de ambos os sexos, com diferentes graus de dependência, com ou sem deficiência, com ou sem transtorno (s) mental (is), em situação de vulnerabilidade e risco pessoal e social, com vínculos familiares rompidos ou fragilizados;R$ 269.902,80;CONFORME EMPENHO;24/09/2020;01-095817/2020;28/09/2020;27/03/2021;Confirmado Vencedor
FMAS      ;DT 19/2020;Dispensa de Licitação - TCE;O presente Termo de Referência visa à formalização de Contrato de prestação de serviços para a execução do Serviço de Acolhimento Institucional, de até 20 (vinte) vagas para o atendimento de pessoas adultas, com idade de 18 (dezoito) a 59 (cinquenta e nove) anos, de ambos os sexos, com diferentes graus de dependência, com ou sem deficiência, com ou sem transtorno (s) mental (is), em situação de vulnerabilidade e risco pessoal e social, com vínculos familiares rompidos ou fragilizados;R$ 269.902,80;CONFORME EMPENHO;24/09/2020;01-095817/2020;28/09/2020;27/03/2021;Confirmado Vencedor
SMELJ     ;PE 187/2020;PREGÃO ELETRÔNICO;COVID - CONTRATAÇÃO DE EMPRESAS PARA PRESTAÇÃO DE SERVIÇOS DE ORIENTAÇÃO EM APOIO ÀS CAMPANHAS DE ENFRENTAMENTO AO COVID-19, COM FORNECIMENTO DE INFRAESTRUTURA E MATERIAIS EDUCATIVOS EM LOCAIS PÚBLICOS, AO AR LIVRE, NO MUNICÍPIO DE CURITIBA, PELO PERÍODO DE 03 (TRES) MESES;;conforme edital;26/11/2020;01-083888/2020;;;Processo Fracassado
SME       ;PE 188/2020;PREGÃO ELETRÔNICO;AQUISIÇÃO DE KITS DE GÊNEROS ALIMENTÍCIOS PARA A SECRETARIA MUNICIPAL DA EDUCAÇÃO.;R$ 998.550,00;conforme edital;28/09/2020;01-071108/2020;28/09/2020;01/02/2021;Empenhado
FMS       ;DT 225/2020;Dispensa de Licitação - TCE;CONTRATAÇÃO EMERGENCIAL DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE LIMPEZA TIPO HOSPITALAR, ASSEIO E CONSERVAÇÃO PREDIAL POR POSTOS DE TRABALHO NAS 08 (OITO) UNIDADES DE PRONTO ATENDIMENTO DA SECRETARIA MUNICIPAL DA SAÚDE.;R$ 2.760.920,04;RUA FRANCISCO TORRES, 830 - SMS;25/09/2020;01-091081/2020;29/09/2020;27/03/2021;Confirmado Vencedor
FMS       ;DT 225/2020;Dispensa de Licitação - TCE;CONTRATAÇÃO EMERGENCIAL DE EMPRESA PARA PRESTAÇÃO DE SERVIÇOS DE LIMPEZA TIPO HOSPITALAR, ASSEIO E CONSERVAÇÃO PREDIAL POR POSTOS DE TRABALHO NAS 08 (OITO) UNIDADES DE PRONTO ATENDIMENTO DA SECRETARIA MUNICIPAL DA SAÚDE.;R$ 2.760.920,04;RUA FRANCISCO TORRES, 830 - SMS;25/09/2020;01-091081/2020;29/09/2020;27/03/2021;Confirmado Vencedor
SME       ;IN 18/2020;Inexigibilidade de Licitação;CHAMAMENTO PÚBLICO PARA AQUISIÇÃO DE GÊNEROS ALIMENTÍCIOS, ORIUNDOS DA AGRICULTURA FAMILIAR, DESTINADOS AO PROGRAMA NACIONAL DE ALIMENTAÇÃO ESCOLAR (PNAE) PARA ATENDIMENTO AOS CENTROS MUNICIPAIS DE EDUCAÇÃO INFANTIL E ESCOLAS DO MUNÍCIPIO DE CURITIBA PREVIAMENTE CADASTRADAS JUNTO AO FNDE.;R$ 4.311.980,00;Conforme processo original nº 01-087784/2020;25/09/2020;01-087784/2020;09/12/2020;08/12/2021;Confirmado Vencedor
FMS       ;DT 226/2020;Dispensa de Licitação - TCE;AQUISIÇÃO DE LUVA DE VINIL TAMANHO M.;R$ 1.320,00;RUA PRIMO LOURENÇO TOSIN, 1021.;29/09/2020;01-097217/2020;30/09/2020;03/10/2020;Empenhado
FMAS      ;DT 20/2020;Dispensa de Licitação - TCE;contrato de prestação de serviço para a execução do Serviço de Acolhimento Institucional, para atendimento de até 11 (onze) pessoa (s) idosas (s) com idade igual ou superior a 60 anos, de ambos ou sexos, com graus de dependência I e II, com ou sem deficiência, com ou sem transtorno mental, em situação de vulnerabilidade e risco pessoal e social, com vínculos familiares rompidos ou fragilizados, oriundas da Cidade de Curitiba.;R$ 186.000,00;CONFORME CONTRATO;01/10/2020;42-000180/2020;04/10/2020;03/04/2021;Confirmado Vencedor
FMAS      ;DT 20/2020;Dispensa de Licitação - TCE;contrato de prestação de serviço para a execução do Serviço de Acolhimento Institucional, para atendimento de até 11 (onze) pessoa (s) idosas (s) com idade igual ou superior a 60 anos, de ambos ou sexos, com graus de dependência I e II, com ou sem deficiência, com ou sem transtorno mental, em situação de vulnerabilidade e risco pessoal e social, com vínculos familiares rompidos ou fragilizados, oriundas da Cidade de Curitiba.;R$ 186.000,00;CONFORME CONTRATO;01/10/2020;42-000180/2020;04/10/2020;03/04/2021;Confirmado Vencedor
FMAS      ;DT 21/2020;Dispensa de Licitação - TCE;contrato de prestação de serviço para a execução de Acolhimento Institucional, para atendimento de até 03 (três) pessoa (s) idosa (s) com idade igual ou superior a 60 anos, de ambos ou sexos, com graus de dependência I, II e III, com ou sem deficiência, com ou sem transtorno mental, em situação de vulnerabilidade e risco pessoal e social, com vínculos familiares rompidos e/ou fragilizados, oriundas da Cidade de Curitiba. ;R$ 54.000,00;CONFORME CONTRATO;01/10/2020;42-000187/2020;04/10/2020;03/04/2021;Confirmado Vencedor
FMAS      ;DT 21/2020;Dispensa de Licitação - TCE;contrato de prestação de serviço para a execução de Acolhimento Institucional, para atendimento de até 03 (três) pessoa (s) idosa (s) com idade igual ou superior a 60 anos, de ambos ou sexos, com graus de dependência I, II e III, com ou sem deficiência, com ou sem transtorno mental, em situação de vulnerabilidade e risco pessoal e social, com vínculos familiares rompidos e/ou fragilizados, oriundas da Cidade de Curitiba. ;R$ 54.000,00;CONFORME CONTRATO;01/10/2020;42-000187/2020;04/10/2020;03/04/2021;Confirmado Vencedor
FMAS      ;DT 22/2020;Dispensa de Licitação - TCE;contrato de prestação de serviço para a execução de Acolhimento Institucional, para atendimento de até 05 (cinco) pessoa (s) idosa (s) com idade igual ou superior a 60 anos, de ambos ou sexos, com graus de dependência I, II e III, com ou sem deficiência, com ou sem transtorno mental, em situação de vulnerabilidade e risco pessoal e social, com vínculos familiares rompidos e/ou fragilizados, oriundas da Cidade de Curitiba. ;R$ 99.000,00;CONFORME CONTRATO;01/10/2020;42-000182/2020;04/10/2020;03/04/2021;Confirmado Vencedor
FMAS      ;DT 22/2020;Dispensa de Licitação - TCE;contrato de prestação de serviço para a execução de Acolhimento Institucional, para atendimento de até 05 (cinco) pessoa (s) idosa (s) com idade igual ou superior a 60 anos, de ambos ou sexos, com graus de dependência I, II e III, com ou sem deficiência, com ou sem transtorno mental, em situação de vulnerabilidade e risco pessoal e social, com vínculos familiares rompidos e/ou fragilizados, oriundas da Cidade de Curitiba. ;R$ 99.000,00;CONFORME CONTRATO;01/10/2020;42-000182/2020;04/10/2020;03/04/2021;Confirmado Vencedor
FMAS      ;DT 23/2020;Dispensa de Licitação - TCE;contrato de prestação de serviço para a execução do Serviço de Acolhimento Institucional, para atendimento de até 07 (sete) pessoa (s) idosas (s) com idade igual ou superior a 60 anos, de ambos ou sexos, com graus de dependência I, II e III, com ou sem deficiência, com ou sem transtorno mental, em situação de vulnerabilidade e risco pessoal e social, com vínculos familiares rompidos ou fragilizados, oriundas da Cidade de Curitiba.;R$ 138.000,00;CONFORME CONTRATO;01/10/2020;42-000181/2020;04/10/2020;03/04/2021;Confirmado Vencedor
FMAS      ;DT 23/2020;Dispensa de Licitação - TCE;contrato de prestação de serviço para a execução do Serviço de Acolhimento Institucional, para atendimento de até 07 (sete) pessoa (s) idosas (s) com idade igual ou superior a 60 anos, de ambos ou sexos, com graus de dependência I, II e III, com ou sem deficiência, com ou sem transtorno mental, em situação de vulnerabilidade e risco pessoal e social, com vínculos familiares rompidos ou fragilizados, oriundas da Cidade de Curitiba.;R$ 138.000,00;CONFORME CONTRATO;01/10/2020;42-000181/2020;04/10/2020;03/04/2021;Confirmado Vencedor
FCC       ;IN 3/2020;Inexigibilidade de Licitação;Edital de Chamamento Público nº 023/2020 - Programa FCC DIGITAL 2, para seleção de conteúdo audiovisual e escrito.;R$ 450.000,00;Rua Engenheiros Rebouças, 1732;02/10/2020;01-072330/2020;26/06/2020;24/11/2021;Confirmado Vencedor
FCC       ;IN 3/2020;Inexigibilidade de Licitação;Edital de Chamamento Público nº 023/2020 - Programa FCC DIGITAL 2, para seleção de conteúdo audiovisual e escrito.;R$ 450.000,00;Rua Engenheiros Rebouças, 1732;02/10/2020;01-072330/2020;26/06/2020;24/11/2021;Confirmado Vencedor
FMAS      ;FN 45/2020;Financeiro;Tem por objetivo formalizar parceria entre as partes a fim de destinar recursos financeiros do Fundo Municipal de Assistência Social, por dispensa de chamamento público, conforme Resolução nº 133/2020 - CMAS, para desenvolver o plano de trabalho ACOLHIMENTO EM TEMPOS DE PANDEMIA, que tem por objetivo geral executar o Serviço de Acolhimento Institucional na modalidade abrigo. Assegurando que em tempos de COVID -19 possamos adaptar a nossa realidade, garantindo a qualidade dos serviços prestados.;R$ 27.000,00;fas;02/10/2020;35-000603/2020;06/10/2020;03/04/2021;Confirmado Vencedor
FMAS      ;FN 45/2020;Financeiro;Tem por objetivo formalizar parceria entre as partes a fim de destinar recursos financeiros do Fundo Municipal de Assistência Social, por dispensa de chamamento público, conforme Resolução nº 133/2020 - CMAS, para desenvolver o plano de trabalho ACOLHIMENTO EM TEMPOS DE PANDEMIA, que tem por objetivo geral executar o Serviço de Acolhimento Institucional na modalidade abrigo. Assegurando que em tempos de COVID -19 possamos adaptar a nossa realidade, garantindo a qualidade dos serviços prestados.;R$ 27.000,00;fas;02/10/2020;35-000603/2020;06/10/2020;03/04/2021;Confirmado Vencedor
FMS       ;PE 112/2020;PREGÃO ELETRÔNICO;SELEÇÃO DE PROPOSTAS PARA FORNECIMENTO DE MEDICAMENTOS, ATRAVÉS DO SISTEMA DE REGISTRO DE PREÇOS, PELO PERÍODO DE 12 (DOZE) MESES - COM COTA RESERVADA PARA MICROEMPRESAS, EMPRESAS DE PEQUENO PORTE E MICROEMPREENDEDORES INDIVIDUAIS - ME/EPP/MEI.;R$ 3.487.350,00;RUA JOÃO BETTEGA, 3350 CIDADE INDUSTRIAL CURITIBA - PR;06/10/2020;01-096463/2020;05/10/2020;17/11/2021;Parcialmente Empenhado
FMS       ;IN 17/2020;Inexigibilidade de Licitação;AQUISIÇÃO DE VÁLVULA, SENSOR E CONECTOR.;R$ 64.396,50;RUA ATÍLIO BORIO, 680;06/10/2020;01-090018/2020;07/10/2020;10/10/2020;Empenhado
